object_id,koi_period,koi_prad,koi_teq,koi_insol,koi_disposition,category,score,flags,disposition_compare,is_disposition_match,color_hint
K03872.01,2.248063246,30.38,1566.0,1421.38,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03873.01,63.3278636,54.17,896.0,152.49,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02076.02,219.3215562,6.11,313.0,2.27,CANDIDATE,candidate,0.5,,match,True,black
K03640.01,245.4382021,19.17,289.0,1.66,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03641.01,178.4129899,33.24,361.0,4.0,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03641.02,178.44973,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03642.01,2.192004364,37.56,1118.0,369.54,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03643.01,3.900109346,40.37,1160.0,427.83,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03644.01,1.471060209,165.15,3693.0,43941.18,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03644.02,0.73553763,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03720.01,213.3990406,35.2,468.0,11.32,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03721.01,6.40802979,51.44,1157.0,424.01,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03722.01,2.38920105,,,752.42,CANDIDATE,candidate,0.5,FLAG_MISSING_PRAD;FLAG_MISSING_TEQ,match,True,black
K03723.01,0.962835804,458.02,7100.0,602806.92,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03724.01,4.639602084,19.96,1285.0,643.95,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03798.01,2.991885335,3.94,1209.0,505.77,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03799.01,1.327471395,7.08,1395.0,892.4,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07807.01,0.566792595,0.5,2548.0,10020.28,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03800.01,1.247156944,26042.9,4120.0,68223.38,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03801.01,288.3128666,13.21,300.0,1.93,CANDIDATE,habitable_zone_candidate,0.7,,mismatch,False,red
K03802.01,2.119100054,34.34,1571.0,1435.29,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03874.01,1.466535757,4.28,1671.0,1849.31,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03875.01,8.870415578,39.46,1151.0,414.26,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07786.01,1.49131759,1.26,2475.0,8873.77,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03876.01,19.57783279,1.96,621.0,35.14,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03877.01,3.04476607,15.7,1126.0,379.01,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
