object_id,koi_period,koi_prad,koi_teq,koi_insol,koi_disposition,category,score,flags,disposition_compare,is_disposition_match,color_hint
K02568.01,1.71030803,1.32,1449.0,1039.18,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02570.01,79.9201319,1.81,217.0,0.53,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02575.01,199.3113,1.64,278.0,1.42,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02584.01,157.82131,1.59,377.0,4.75,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03978.01,2.28612573,22.63,1433.0,993.96,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02162.02,199.66876,1.45,305.0,2.06,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03979.01,1.33254971,1.36,1782.0,2377.19,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03980.01,0.469334634,2.4,2432.0,8264.27,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03981.01,0.849277809,20.11,1781.0,2366.84,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01695.01,71.4523167,2.19,561.0,23.44,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K01696.01,1.752564549,1.38,1741.0,2174.09,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07839.01,0.566816802,0.68,1585.0,1483.43,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
